lga_code_2016,lga_name_2016,did_not_go_to_schoolool_indig_f,did_not_go_to_schoolool_indig_m,did_not_go_to_school_non_indig_f,did_not_go_to_school_non_indig_m,did_not_go_to_school_indig_stat_notstated_f,did_not_go_to_school_indig_stat_notstated_m,y8_below_indig_f,y8_below_indig_m,y8_below_non_indig_f,y8_below_non_indig_m,y8_below_indig_stat_notstated_f,y8_below_indig_stat_notstated_m,y10_equiv_indig_f,y10_equiv_indig_m,y10_equiv_non_indig_f,y10_equiv_non_indig_m,y10_equiv_indig_stat_notstated_f,y10_equiv_indig_stat_notstated_m,y12_equiv_indig_f,y12_equiv_indig_m,y12_equiv_non_indig_f,y12_equiv_non_indig_m,y12_equiv_indig_stat_notstated_f,y12_equiv_indig_stat_notstated_m
10050,Albury,7,6,148,127,5,4,39,32,894,888,19,9,123,125,4746,4816,38,50,110,96,9182,7479,53,46
10130,Armidale Regional,4,6,32,32,0,0,62,85,442,474,10,12,176,190,2203,2178,25,26,216,156,6325,5416,37,31
10250,Ballina,7,5,42,33,0,3,32,38,750,710,10,12,142,125,4871,4296,38,47,142,132,7442,6599,38,33
10300,Balranald,0,0,6,7,0,0,8,17,67,83,0,0,17,16,169,217,0,3,17,6,280,200,3,3
10470,Bathurst Regional,3,3,47,41,0,3,35,40,594,614,8,4,183,156,3956,4216,45,48,226,159,7378,6044,51,43
10550,Bega Valley,3,3,24,30,0,0,31,46,638,720,15,13,97,79,3633,3734,57,53,97,74,5537,4631,55,39
10600,Bellingen,0,0,13,11,0,4,8,12,218,232,7,4,40,53,1355,1381,12,21,51,34,2265,1777,30,21
10650,Berrigan,0,0,9,14,0,0,6,9,217,276,9,9,12,16,810,890,13,9,23,13,1124,876,11,3
10750,Blacktown,22,26,1777,1138,18,4,234,226,6236,5178,77,55,917,838,22847,23313,159,162,856,674,71797,68452,302,306
10800,Bland,0,0,0,6,0,0,5,8,125,160,4,4,31,21,676,808,9,10,18,14,726,530,4,6
10850,Blayney,0,0,3,7,0,0,0,9,134,177,0,5,22,28,829,899,13,15,19,16,1114,858,5,8
10900,Blue Mountains,5,0,58,73,0,3,24,25,669,571,5,12,158,188,7161,6787,61,51,247,213,17944,15674,79,85
10950,Bogan,0,0,3,0,0,0,7,15,51,56,0,5,48,40,264,302,3,4,41,22,303,245,8,3
11100,Botany Bay,0,0,322,229,0,0,12,17,1018,775,8,7,81,83,2385,2570,20,19,139,106,11998,11646,42,47
11150,Bourke,0,9,0,3,0,0,30,30,24,46,0,3,94,82,112,166,3,4,52,37,270,204,3,0
11200,Brewarrina,4,3,0,3,0,0,53,61,10,16,0,0,107,98,48,84,5,0,58,54,109,72,7,4
14650,Lake Macquarie,13,21,199,206,6,5,151,173,3458,3232,45,38,859,825,24712,23928,181,153,800,642,31671,27996,151,125
11250,Broken Hill,5,4,12,25,0,0,44,56,586,616,8,10,148,129,2267,2154,22,24,94,80,1857,1566,13,21
13910,Hilltops,4,0,30,45,0,0,23,30,421,524,17,10,88,79,2074,2315,22,26,53,44,2575,1929,18,15
14000,Hornsby,0,3,364,277,5,3,11,4,1094,816,14,5,52,61,8020,6875,52,53,118,93,39895,37935,173,162
14100,Hunters Hill,0,0,32,18,0,0,0,0,143,82,0,0,5,3,682,429,4,3,11,13,3826,3661,25,29
14170,Inner West,6,8,1202,771,15,4,56,52,3323,2529,37,25,196,145,6588,6930,50,46,404,363,55196,50605,202,170
14200,Inverell,3,0,21,16,0,0,35,54,354,493,11,3,137,112,1883,1894,26,23,111,79,2163,1686,20,14
14300,Junee,3,0,10,4,0,0,7,9,107,122,5,4,22,24,600,710,5,10,20,19,718,568,5,5
14350,Kempsey,11,11,21,30,0,0,111,102,712,818,19,12,306,253,3495,3406,41,39,225,176,3144,2688,28,26
14400,Kiama,0,0,16,20,0,0,9,3,266,264,0,3,35,46,2345,2154,28,22,57,57,4323,4061,36,30
14500,Ku-ring-gai,0,0,199,132,5,0,0,0,530,313,4,3,12,9,4151,2475,33,16,47,57,36786,34416,127,110
14550,Kyogle,0,0,9,10,0,0,15,22,212,276,4,4,44,35,1083,1216,25,26,35,18,1155,993,11,8
14600,Lachlan,5,7,7,14,0,0,38,43,113,171,3,0,105,91,522,668,3,9,97,59,757,564,3,7
14700,Lane Cove,0,0,57,45,0,0,0,0,164,136,3,0,4,6,1238,883,7,7,22,18,11608,10974,21,31
14750,Leeton,0,0,17,23,0,0,14,22,218,335,5,5,51,75,1306,1406,11,19,38,35,1281,1034,13,6
14850,Lismore,3,6,45,54,0,0,44,48,780,795,7,6,217,203,4880,4540,54,33,233,196,7265,6369,50,53
14870,Lithgow,0,3,17,28,0,0,36,38,458,513,9,15,115,127,2566,2878,31,29,98,79,2593,2059,32,27
14900,Liverpool,3,10,2434,1644,18,4,60,88,5110,4131,65,34,299,236,12741,14165,114,99,329,218,41424,38753,221,179
14920,Liverpool Plains,3,0,7,13,0,0,22,40,133,236,7,6,97,110,860,917,14,9,74,67,893,707,6,13
14950,Lockhart,0,0,3,3,0,0,3,7,52,102,0,0,16,11,358,423,3,6,5,10,415,311,8,7
15050,Maitland,3,7,67,74,0,0,72,95,1199,1118,21,16,439,392,9209,9249,74,64,380,289,11756,9765,59,61
15240,Mid-Coast,12,5,81,102,6,6,155,202,2113,2432,34,33,562,487,12530,11810,148,125,409,350,11293,9875,102,83
15270,Mid-Western Regional,3,0,21,30,3,0,18,41,462,588,12,13,127,152,2578,2920,39,47,112,85,3357,2644,27,28
15300,Moree Plains,11,18,15,22,0,0,93,117,154,293,3,11,306,240,962,1193,5,24,202,150,1654,1320,22,14
15350,Mosman,0,0,17,24,0,0,0,0,85,54,0,0,3,4,1053,539,9,3,17,17,9421,8196,34,37
15520,Murray River,3,3,6,17,0,0,15,16,289,384,8,3,33,32,874,1112,8,13,35,19,1682,1263,18,11
15560,Murrumbidgee,0,0,3,0,0,0,12,17,84,130,0,5,41,25,319,436,3,6,23,22,475,377,4,5
15650,Muswellbrook,3,0,9,19,3,0,25,27,293,321,3,9,132,142,1764,2054,19,25,101,60,1893,1548,9,10
15700,Nambucca,3,6,14,20,0,0,46,38,412,513,10,6,149,115,2407,2374,38,39,119,93,2435,2095,25,24
15750,Narrabri,0,4,9,19,0,0,46,54,219,335,3,5,171,143,1267,1433,16,15,132,81,1639,1331,21,18
15800,Narrandera,0,0,7,17,0,3,20,27,117,172,0,3,53,56,606,662,13,11,42,17,694,522,3,3
15850,Narromine,0,6,8,4,0,0,34,33,101,150,3,0,133,120,581,692,3,10,138,65,770,606,10,5
15900,Newcastle,9,15,315,229,3,5,97,113,2383,2077,31,15,569,538,14538,14430,112,112,771,619,32640,30613,138,124
15950,North Sydney,3,0,79,45,0,0,0,0,210,168,0,3,5,11,2176,1420,8,9,58,62,24448,21831,72,63
15990,Northern Beaches,3,3,386,347,0,0,12,12,1978,1619,22,24,93,119,16310,14115,123,81,257,235,66793,63207,312,270
16100,Oberon,0,0,4,11,0,0,6,3,86,138,0,0,14,16,601,724,4,3,15,12,727,593,6,6
16150,Orange,4,0,59,69,8,0,64,69,750,741,12,13,240,239,4073,4103,56,34,214,160,6920,5638,37,26
16200,Parkes,0,10,12,12,0,0,33,60,293,345,3,5,161,144,1583,1682,8,19,129,85,1823,1530,15,10
16260,Parramatta,6,8,1193,1003,8,13,27,27,2595,2001,29,19,139,135,10695,9670,81,70,185,188,62308,61982,226,191
11650,Central Coast (NSW),18,23,350,407,3,12,227,224,5518,4899,96,94,1281,1244,39177,36111,359,327,1325,1075,54522,49030,374,352
11700,Central Darling,0,0,0,0,0,0,32,45,22,47,0,3,89,78,94,99,3,3,30,23,135,136,8,3
11720,Cessnock,5,5,49,58,0,0,99,101,1206,1190,20,13,371,412,6843,7241,68,64,277,233,6347,5031,48,53
11730,Clarence Valley,4,7,54,67,0,0,80,86,1160,1366,22,38,360,309,6748,6502,100,69,263,209,6416,5628,61,46
11750,Cobar,0,5,3,4,0,0,19,32,67,113,0,7,72,74,395,536,4,9,46,23,554,418,8,6
11800,Coffs Harbour,11,3,177,149,3,0,80,103,1279,1360,18,19,384,338,8286,7724,89,75,362,289,11831,10254,80,72
