lga_code16,lga_name16,in_lf_emp_indig_f,in_lf_emp_indig_m,in_lf_emp_non_indig_f,in_lf_emp_non_indig_m,in_lf_emp_indig_stat_notstated_f,in_lf_emp_indig_stat_notstated_m,in_lf_unemp_indig_f,in_lf_unemp_indig_m,in_lf_unemp_non_indig_f,in_lf_unemp_non_indig_m,in_lf_unemp_indig_stat_notstated_f,in_lf_unemp_indig_stat_notstated_m,indsec_gov_indig_f,indsec_gov_indig_m,indsec_gov_non_indig_f,indsec_gov_non_indig_m,indsec_gov_indig_stat_notstated_f,indsec_gov_indig_stat_notstated_m,indsec_priv_indig_f,indsec_priv_indig_m,indsec_priv_non_indig_f,indsec_priv_non_indig_m,indsec_priv_indig_stat_notstated_f,indsec_priv_indig_stat_notstated_m,self_employed_indig_f,self_employed_indig_m,self_employed_non_indig_f,self_employed_non_indig_m,self_employed_indig_stat_notstated_f,self_employed_indig_stat_notstated_m,n_the_lf_indig_f,n_the_lf_indig_m,n_the_lf_non_indig_f,n_the_lf_non_indig_m,n_the_lf_indig_stat_notstated_f,n_the_lf_indig_stat_notstated_m
10050,Albury,161,164,11065,11368,56,86,45,61,736,827,0,5,40,24,2338,1329,9,9,121,135,8627,9923,43,70,4,7,450,749,3,9,238,157,7726,5540,121,67
10130,Armidale Regional,230,243,5804,5973,36,39,70,72,409,476,0,7,51,56,1539,1135,6,0,175,177,4223,4786,24,37,0,12,264,529,4,4,398,348,4564,3405,53,57
10250,Ballina,192,211,8473,8489,42,61,25,50,431,571,5,6,44,37,1528,1104,3,0,141,172,6843,7272,36,55,5,8,619,978,5,11,248,171,7461,5613,81,69
10300,Balranald,24,23,399,521,3,9,9,14,15,19,0,0,3,9,80,47,0,0,20,14,313,458,3,3,0,0,13,49,0,0,28,29,289,200,3,0
10470,Bathurst Regional,291,303,8562,8874,72,68,59,52,452,583,5,11,81,38,1959,1456,11,5,210,254,6517,7316,55,63,6,10,377,603,3,4,305,395,5657,4943,67,54
10550,Bega Valley,129,139,6276,6473,65,81,26,28,309,373,3,8,21,27,908,667,5,3,104,107,5310,5735,51,64,9,10,436,778,0,9,187,137,6254,5188,105,83
10600,Bellingen,60,73,2328,2378,29,20,5,14,146,202,3,9,14,12,469,303,0,0,46,58,1822,2053,31,24,0,5,230,425,3,4,80,55,2385,1900,44,34
10650,Berrigan,29,43,1518,1659,19,23,3,0,72,91,0,3,0,3,200,130,0,3,27,37,1290,1500,19,18,0,0,84,177,4,4,29,20,1478,1274,41,21
10750,Blacktown,1224,1337,67470,80760,304,381,227,281,5747,5592,29,30,270,150,11157,8059,33,33,923,1138,55322,71231,254,306,21,31,1960,4121,5,16,1571,1219,48428,31758,446,322
10800,Bland,41,46,1085,1350,11,21,8,7,24,48,0,0,8,6,163,103,0,0,32,35,898,1231,9,12,0,5,84,204,5,3,24,26,854,594,20,8
10850,Blayney,36,42,1481,1621,19,28,6,7,81,107,0,3,4,6,293,174,5,4,30,35,1160,1424,11,26,0,0,113,173,3,3,37,28,1057,744,21,13
10900,Blue Mountains,332,347,17300,17711,74,103,29,33,813,899,0,6,87,62,4510,3283,8,16,240,283,12664,14266,61,84,21,20,1221,1673,3,14,229,201,12544,9086,122,101
10950,Bogan,69,66,450,568,7,12,9,16,18,27,0,0,12,10,101,60,0,0,59,51,342,500,7,12,0,0,28,59,0,0,65,42,322,216,13,14
11100,Botany Bay,183,181,10563,11954,37,39,15,15,623,698,4,3,57,38,1635,1475,3,6,122,135,8801,10299,31,34,3,10,386,761,0,4,119,81,6624,4752,52,40
11150,Bourke,123,94,362,409,6,6,19,30,6,14,3,3,34,29,117,106,0,0,81,70,234,290,3,8,4,5,25,46,0,0,158,109,156,123,3,0
11200,Brewarrina,87,95,147,166,7,3,30,50,4,3,0,0,36,36,56,35,0,0,51,54,84,131,3,3,0,0,9,27,0,0,236,203,58,69,3,0
11250,Broken Hill,208,180,3162,3295,25,34,44,64,219,330,0,3,55,26,722,535,7,8,148,145,2412,2704,19,27,8,7,85,168,0,0,237,215,3110,2405,54,55
13910,Hilltops,92,118,3410,3870,34,39,20,28,181,212,0,3,11,13,443,342,0,3,85,104,2927,3475,26,33,7,4,207,398,0,3,131,98,3121,2284,61,45
14000,Hornsby,143,136,33606,36631,123,150,14,13,1744,1788,8,3,28,21,5651,4116,24,16,110,110,27685,32154,96,125,8,5,1613,2368,3,3,80,62,21204,14220,163,109
14100,Hunters Hill,10,16,2963,3211,20,18,0,3,108,117,0,0,4,3,386,287,4,3,11,11,2551,2894,13,16,0,0,166,178,0,0,6,24,2361,1865,25,11
14170,Inner West,464,402,49141,49251,154,156,50,68,2358,2527,7,17,155,104,10327,6848,30,22,301,283,38383,41843,117,120,20,24,2738,3308,10,7,317,224,21197,15672,192,166
14200,Inverell,144,153,2862,3163,32,40,56,60,164,221,4,5,27,18,452,342,6,4,106,121,2365,2774,23,32,3,6,196,327,0,7,267,186,2645,1995,42,28
