lga_code16,lga_name16,nsq_ce_ii_indig_f,nsq_ce_ii_indig_m,nsq_ce_ii_non_indig_f,nsq_ce_ii_non_indig_m,nsq_ce_ii_indig_stat_notstated_f,nsq_ce_ii_indig_stat_notstated_m,nsq_ad_dl_indig_f,nsq_ad_dl_indig_m,nsq_ad_dl_non_indig_f,nsq_ad_dl_non_indig_m,nsq_ad_dl_indig_stat_notstated_f,nsq_ad_dl_indig_stat_notstated_m,nsq_bdl_indig_f,nsq_bdl_indig_m,nsq_bdl_non_indig_f,nsq_bdl_non_indig_m,nsq_bdl_indig_stat_notstated_f,nsq_bdl_indig_stat_notstated_m,nsq_gd_gcl_indig_f,nsq_gd_gcl_indig_m,nsq_gd_gcl_non_indig_f,nsq_gd_gcl_non_indig_m,nsq_gd_gcl_indig_stat_notstated_f,nsq_gd_gcl_indig_stat_notstated_m,nsq_pgdl_indig_f,nsq_pgdl_indig_m,nsq_pgdl_non_indig_f,nsq_pgdl_non_indig_m,nsq_pgdl_indig_stat_notstated_f,nsq_pgdl_indig_stat_notstated_m
10050,Albury,16,5,385,188,0,0,29,15,2094,1371,13,11,16,13,2900,1760,13,0,3,3,542,297,3,4,4,3,576,465,0,0
10130,Armidale Regional,20,8,172,117,0,0,56,19,1032,606,11,3,28,14,1984,1235,12,11,4,3,371,188,3,0,4,10,819,906,0,3
10250,Ballina,9,6,255,115,0,0,43,36,2030,1201,17,5,30,27,2756,1903,11,13,3,0,440,294,0,3,4,4,555,502,0,3
10300,Balranald,0,0,11,5,0,0,3,0,53,24,0,0,6,3,59,32,0,0,3,0,10,0,0,0,0,0,11,9,0,0
10470,Bathurst Regional,23,12,305,142,3,3,55,28,1583,988,7,10,44,14,2324,1360,13,4,15,3,405,220,0,0,5,3,483,455,3,0
10550,Bega Valley,13,3,268,101,3,0,22,9,1407,873,10,9,13,9,1797,1097,12,9,4,0,395,192,7,0,7,5,330,303,0,3
10600,Bellingen,0,3,84,54,0,0,9,5,594,357,4,4,6,5,877,497,13,0,0,0,152,74,0,0,0,0,182,128,5,0
10650,Berrigan,3,0,50,20,3,0,3,3,264,183,0,3,3,0,327,160,0,0,0,0,49,16,0,0,0,0,35,18,0,0
10750,Blacktown,74,30,1754,889,6,0,223,110,12161,10382,49,47,144,69,22506,17477,77,39,26,11,1698,1248,3,3,31,14,6725,7202,26,13
10800,Bland,4,0,54,15,0,0,3,0,159,86,0,0,4,0,214,100,0,0,0,0,24,13,0,0,0,0,24,15,0,0
10850,Blayney,3,0,56,20,0,0,6,3,269,142,0,4,3,0,356,189,0,0,3,0,56,32,0,0,0,0,59,47,0,0
10900,Blue Mountains,3,6,380,241,0,0,79,32,4227,2999,17,16,66,45,6428,4456,30,21,11,6,1309,697,12,3,22,8,2225,1918,3,12
10950,Bogan,0,0,13,10,0,0,10,3,66,36,0,0,3,0,99,49,0,0,0,0,7,5,0,0,0,0,9,7,0,0
11100,Botany Bay,3,3,160,102,0,0,34,13,1910,1559,5,0,25,10,3870,3186,16,9,4,0,327,178,0,3,4,6,1386,1440,3,3
11150,Bourke,7,5,15,3,0,0,24,12,72,43,0,0,15,5,97,42,0,0,0,0,9,3,0,0,0,0,14,7,0,0
11200,Brewarrina,13,14,7,5,0,0,10,4,28,17,0,0,11,0,51,11,0,0,0,0,3,7,0,0,3,0,8,0,0,0
11250,Broken Hill,8,6,137,63,0,0,36,13,465,285,8,4,32,7,567,295,0,0,6,0,109,59,0,0,3,0,122,61,0,0
13910,Hilltops,3,6,133,56,6,0,13,14,673,334,6,5,9,0,756,388,3,0,0,0,92,39,0,7,0,3,98,72,0,0
14000,Hornsby,4,5,490,286,4,5,31,17,6902,5137,40,19,37,22,15095,13102,55,43,4,3,2003,1301,5,8,7,13,5657,6661,21,12
14100,Hunters Hill,0,0,44,20,0,0,3,8,658,387,3,0,3,3,1540,1377,7,5,0,0,206,109,4,0,0,4,564,650,0,4
14170,Inner West,17,8,506,352,5,3,95,49,7507,6057,25,21,120,105,22501,18566,67,46,30,18,3053,1778,9,3,51,28,9775,8091,27,21
14200,Inverell,11,6,105,53,3,0,19,10,518,287,0,0,8,8,638,291,4,4,3,0,80,43,0,0,0,0,57,38,0,0
14300,Junee,3,0,55,28,0,0,6,0,172,95,0,0,4,0,203,118,0,0,0,0,21,12,0,0,0,0,39,8,0,0
14350,Kempsey,34,17,201,126,3,0,75,34,907,480,3,4,36,12,907,537,11,3,6,0,140,67,0,0,4,4,140,94,0,0
14400,Kiama,5,0,117,48,0,0,18,16,1164,860,12,7,20,7,1602,1292,9,5,10,0,356,172,0,0,0,3,422,408,0,0
14500,Ku-ring-gai,0,0,234,142,3,3,10,11,5452,3491,17,11,19,20,15030,13722,40,43,3,0,1785,1126,6,0,8,5,5862,7403,13,18
14550,Kyogle,4,0,69,41,0,0,10,3,351,183,0,3,7,0,375,230,3,0,0,3,69,27,0,0,4,0,47,50,0,0
14600,Lachlan,12,5,42,23,0,0,22,10,161,79,0,0,14,7,210,75,0,0,3,0,46,7,0,0,0,0,18,14,0,0
14650,Lake Macquarie,63,37,1279,565,7,0,220,124,8274,5809,43,21,186,95,10701,7186,41,16,31,8,1570,859,7,0,32,18,2206,2205,3,9
14700,Lane Cove,0,0,82,49,0,0,3,3,1583,1157,6,4,8,9,4972,4403,8,11,0,0,604,380,0,0,0,0,2095,2248,4,6
14750,Leeton,3,0,89,36,0,0,8,3,292,175,0,0,5,3,405,244,10,0,0,0,51,28,0,0,0,0,46,47,0,0
14850,Lismore,33,19,299,196,0,3,68,33,1726,1030,17,11,70,37,2681,1709,18,5,19,8,470,219,7,3,12,3,509,455,3,0
14870,Lithgow,7,7,174,76,0,0,27,15,666,432,5,3,18,9,680,385,13,3,3,3,121,55,0,0,0,0,117,104,0,0
14900,Liverpool,26,9,1059,546,10,3,97,29,7936,6050,33,16,63,27,10562,7921,39,14,5,3,800,492,3,0,9,4,2571,2363,5,7
14920,Liverpool Plains,13,4,58,23,0,0,22,6,227,130,3,3,10,5,250,116,3,0,3,0,34,12,0,0,0,0,32,19,0,0
14950,Lockhart,0,0,28,12,0,0,0,0,107,66,0,0,0,0,128,54,0,0,0,0,26,3,0,0,0,0,17,9,0,0
15050,Maitland,38,19,612,242,3,0,108,46,3012,2032,16,9,82,36,3478,2039,16,4,17,0,516,249,0,0,9,10,652,581,0,4
15240,Mid-Coast,42,28,707,346,10,6,144,56,3649,2110,33,17,79,37,3252,2148,23,7,11,6,584,301,3,3,12,10,498,553,4,0
15270,Mid-Western Regional,13,3,170,97,0,3,34,12,808,444,3,7,18,10,992,581,7,8,3,0,143,69,0,0,0,0,160,98,0,0
15300,Moree Plains,16,13,61,26,0,0,45,7,381,217,5,0,21,14,510,275,3,3,0,0,77,21,0,0,4,3,62,45,0,0
15350,Mosman,0,0,81,19,0,0,3,6,1452,836,7,5,7,3,3908,3472,18,11,0,0,472,245,0,0,0,0,1620,1683,4,5
